1.360	150	12	1.046	166	1.056	113	1.692	1.268	14	49	1
1.292	112	9	955	103	1.174	92	1.559	972	13	48	2
1.402	88	9	939	131	1.140	114	1.555	1.074	12	54	2
1.376	80	9	948	172	1.092	122	1.584	1.203	11	60	2
1.272	51	7	836	131	1.205	116	1.490	1.110	11	60	2
1.197	38	5	750	89	1.337	96	1.393	949	11	59	1
1.185	31	4	690	62	1.462	77	1.333	733	11	57	1
1.136	31	3	672	62	1.453	76	1.333	730	11	60	1
1.094	24	2	609	45	1.579	60	1.276	620	11	60	1
1.010	19	2	561	200	1.705	200	1.235	501	10	60	1
1.011	14	1	527	21	1.818	34	1.197	445	10	61	1
1.066	8	1	512	16	1.918	28	1.182	422	11	56	1
1.052	16	2	553	34	1.738	48	1.221	472	11	58	1
1.144	29	3	667	98	1.490	82	1.339	730	10	60	1
1.333	64	8	900	174	1.136	112	1.517	1.102	11	57	2
1.351	87	10	960	129	1.079	101	1.583	1.028	11	61	2
1.233	77	6	827	112	1.218	98	1.446	860	11	58	2
1.179	43	5	762	95	1.328	92	1.362	671	11	58	2
1.236	61	5	774	104	1.301	95	1.401	664	10	67	2
1.286	63	7	869	146	1.162	112	1.537	799	8	76	2
1.371	164	12	1.034	207	983	128	1.730	1.037	8	81	1
1.310	79	9	933	184	1.082	126	1.647	946	8	80	2
1.292	95	8	912	193	1.103	131	1.591	957	10	71	2
1.383	150	11	1.020	243	1.008	135	1.719	1.104	10	68	1
1.581	307	21	1.319	281	799	151	2.083	1.409	10	64	2
1.776	461	27	1.488	383	702	172	2.333	1.704	10	69	1
1.640	401	24	1.404	351	743	165	2.191	1.654	10	68	0
1.313	197	13	1.076	240	957	136	1.707	1.285	9	64	1
965	61	5	749	94	1.325	85	1.333	821	8	63	2
913	26	3	629	47	1.565	53	1.252	552	8	61	1
1.080	55	6	805	122	1.254	97	1.375	816	8	59	2
1.044	53	6	829	133	1.247	110	1.378	832	8	60	2
988	40	4	718	82	1.396	91	1.304	692	7	62	1
889	21	2	574	200	1.680	200	1.187	512	7	62	1
831	10	1	506	21	1.893	32	1.134	384	6	66	2
847	7	1	501	30	1.895	44	1.155	394	6	65	1
927	17	2	571	56	1.685	71	1.223	487	7	63	1
1.091	33	4	730	109	1.387	104	1.361	748	6	65	1
1.587	202	18	1.236	307	897	141	1.900	1.400	7	63	1
1.545	200	22	1.353	200	767	200	2.058	1.588	9	56	2
1.350	208	14	1.118	187	912	122	1.712	1.237	13	42	1
1.263	166	12	1.037	216	969	143	1.598	1.167	14	38	1
1.206	114	10	986	143	1.035	113	1.537	959	15	37	2
1.252	140	11	1.016	160	1.008	116	1.593	983	16	35	1
1.287	169	13	1.078	163	949	123	1.660	1.061	16	36	1
1.353	185	14	1.122	190	922	126	1.740	1.139	16	37	1
1.309	165	13	1.073	178	954	120	1.657	1.112	16	37	1
1.274	133	12	1.041	150	1.006	119	1.610	994	17	34	2
1.510	233	19	1.277	206	812	149	1.910	1.410	15	40	1
1.525	242	18	1.246	202	821	145	1.847	1.448	14	43	1
1.843	488	33	1.610	340	624	170	2.390	1.887	13	51	1
1.598	333	20	1.299	274	752	149	1.941	1.627	12	53	1
1.484	215	14	1.127	253	839	139	1.723	1.491	11	59	1
1.677	367	22	1.346	300	741	134	2.062	1.657	10	65	2
1.280	122	10	964	193	963	113	1.544	1.285	10	64	1
1.196	67	7	873	139	1.071	97	1.463	1.144	9	64	2
1.184	43	5	782	83	1.176	82	1.365	1.043	9	64	2
1.172	46	5	783	200	1.179	200	1.380	996	8	68	2
1.147	56	6	821	109	1.132	83	1.412	992	7	71	2
978	30	3	625	62	1.420	65	1.274	819	8	64	1
1.100	27	3	646	53	1.406	60	1.268	835	7	68	1
1.112	47	5	770	139	1.228	77	1.409	940	6	72	2
1.336	132	12	1.043	256	935	96	1.678	1.192	7	72	1
1.408	239	15	1.153	295	830	119	1.777	1.411	10	60	1
1.447	160	13	1.081	250	869	126	1.667	1.465	12	51	1
1.542	283	16	1.184	296	808	158	1.780	1.583	16	42	1
1.451	210	14	1.117	239	875	161	1.679	1.387	18	34	1
1.328	154	12	1.059	153	987	124	1.600	1.101	19	31	1
1.207	112	9	924	118	1.088	102	1.488	850	18	35	2
1.240	108	9	947	119	1.049	116	1.532	947	18	34	2
1.306	111	10	987	138	1.004	124	1.554	1.078	18	35	1
1.326	97	11	1.000	148	976	125	1.602	1.084	17	38	2
1.473	191	16	1.163	227	831	148	1.779	1.395	16	41	1
1.609	258	20	1.286	277	758	165	1.922	1.612	16	42	1
1.611	284	19	1.274	279	754	161	1.915	1.697	16	44	1
1.621	269	18	1.247	283	762	159	1.860	1.886	15	47	1
1.444	180	13	1.089	214	844	143	1.748	1.624	15	49	1
1.418	116	11	1.010	172	892	130	1.603	1.536	15	49	1
1.534	93	11	1.013	190	889	129	1.611	1.535	14	54	1
1.484	131	12	1.045	174	880	119	1.624	1.530	15	52	1
1.367	92	9	925	128	953	104	1.543	1.337	13	59	1
1.344	132	10	968	200	921	200	1.620	1.278	12	63	2
1.130	56	5	773	70	1.130	82	1.452	1.051	12	61	2
1.062	32	4	691	53	1.272	70	1.377	929	12	63	1
1.076	29	3	618	44	1.395	63	1.333	872	12	62	1
1.028	27	2	615	74	1.384	67	1.340	853	10	68	1
1.155	36	4	722	101	1.225	84	1.414	959	12	63	1
1.235	57	6	828	118	1.055	83	1.527	1.093	12	60	2
1.332	129	9	923	144	952	98	1.614	1.225	15	53	2
1.445	148	11	1.009	176	878	114	1.696	1.355	17	46	1
1.416	145	11	1.002	161	907	119	1.677	1.262	19	38	1
1.281	93	8	880	113	1.084	104	1.525	980	21	31	2
